ticker,form,year,ext,accno,path
AAPL,10-K,2024,html,0000320193-24-000123,data\raw_reports\standard\US_AAPL_2024_10-K_0000320193-24-000123.html
AAPL,10-K,2023,html,0000320193-23-000106,data\raw_reports\standard\US_AAPL_2023_10-K_0000320193-23-000106.html
AAPL,10-Q,2025,html,0000320193-25-000073,data\raw_reports\standard\US_AAPL_2025_10-Q_0000320193-25-000073.html
AMZN,10-K,2025,html,0001018724-25-000004,data\raw_reports\standard\US_AMZN_2025_10-K_0001018724-25-000004.html
AMZN,10-K,2024,html,0001018724-24-000008,data\raw_reports\standard\US_AMZN_2024_10-K_0001018724-24-000008.html
AMZN,10-Q,2025,html,0001018724-25-000086,data\raw_reports\standard\US_AMZN_2025_10-Q_0001018724-25-000086.html
BRK-A,10-K,2025,html,0000950170-25-025210,data\raw_reports\standard\US_BRK-A_2025_10-K_0000950170-25-025210.html
BRK-A,10-K,2024,html,0000950170-24-019719,data\raw_reports\standard\US_BRK-A_2024_10-K_0000950170-24-019719.html
BRK-A,10-Q,2025,html,0000950170-25-101578,data\raw_reports\standard\US_BRK-A_2025_10-Q_0000950170-25-101578.html
GOOGL,10-K,2025,html,0001652044-25-000014,data\raw_reports\standard\US_GOOGL_2025_10-K_0001652044-25-000014.html
GOOGL,10-K,2024,html,0001652044-24-000022,data\raw_reports\standard\US_GOOGL_2024_10-K_0001652044-24-000022.html
GOOGL,10-Q,2025,html,0001652044-25-000062,data\raw_reports\standard\US_GOOGL_2025_10-Q_0001652044-25-000062.html
JNJ,10-K,2025,html,0000200406-25-000038,data\raw_reports\standard\US_JNJ_2025_10-K_0000200406-25-000038.html
JNJ,10-K,2024,html,0000200406-24-000013,data\raw_reports\standard\US_JNJ_2024_10-K_0000200406-24-000013.html
JNJ,10-Q,2025,html,0000200406-25-000178,data\raw_reports\standard\US_JNJ_2025_10-Q_0000200406-25-000178.html
JPM,10-K,2025,html,0000019617-25-000270,data\raw_reports\standard\US_JPM_2025_10-K_0000019617-25-000270.html
JPM,10-K,2024,html,0000019617-24-000225,data\raw_reports\standard\US_JPM_2024_10-K_0000019617-24-000225.html
JPM,10-Q,2025,html,0000019617-25-000615,data\raw_reports\standard\US_JPM_2025_10-Q_0000019617-25-000615.html
META,10-K,2025,html,0001326801-25-000017,data\raw_reports\standard\US_META_2025_10-K_0001326801-25-000017.html
META,10-K,2024,html,0001326801-24-000012,data\raw_reports\standard\US_META_2024_10-K_0001326801-24-000012.html
META,10-Q,2025,html,0001628280-25-036791,data\raw_reports\standard\US_META_2025_10-Q_0001628280-25-036791.html
MSFT,10-K,2025,html,0000950170-25-100235,data\raw_reports\standard\US_MSFT_2025_10-K_0000950170-25-100235.html
MSFT,10-K,2024,html,0000950170-24-087843,data\raw_reports\standard\US_MSFT_2024_10-K_0000950170-24-087843.html
MSFT,10-Q,2025,html,0000950170-25-061046,data\raw_reports\standard\US_MSFT_2025_10-Q_0000950170-25-061046.html
NVDA,10-K,2025,html,0001045810-25-000023,data\raw_reports\standard\US_NVDA_2025_10-K_0001045810-25-000023.html
NVDA,10-K,2024,html,0001045810-24-000029,data\raw_reports\standard\US_NVDA_2024_10-K_0001045810-24-000029.html
NVDA,10-Q,2025,html,0001045810-25-000116,data\raw_reports\standard\US_NVDA_2025_10-Q_0001045810-25-000116.html
TSLA,10-K,2025,html,0001628280-25-003063,data\raw_reports\standard\US_TSLA_2025_10-K_0001628280-25-003063.html
TSLA,10-K,2024,html,0001628280-24-002390,data\raw_reports\standard\US_TSLA_2024_10-K_0001628280-24-002390.html
TSLA,10-Q,2025,html,0001628280-25-035806,data\raw_reports\standard\US_TSLA_2025_10-Q_0001628280-25-035806.html
